reviewText,stars,createdAt,location
pelayanan gk cepat antre lama,2,2026-01-01,contoh-cabang-a
antre lama pelayanan lambat,1,2026-01-02,contoh-cabang-a
petugas lambat membuat antre,2,2026-01-03,contoh-cabang-a
tidak cepat antre panjang,2,2026-01-04,contoh-cabang-a
pelayanan lama antre terus,1,2026-01-05,contoh-cabang-a
tempat bersih nyaman rapi,5,2026-01-06,contoh-cabang-b
ruangan bersih dan sangat nyaman,5,2026-01-07,contoh-cabang-b
lokasi rapi bersih nyaman,4,2026-01-08,contoh-cabang-b
fasilitas bersih membuat nyaman,5,2026-01-09,contoh-cabang-b
suasana nyaman tempat terawat,4,2026-01-10,contoh-cabang-b
harga tiket mahal sekali,2,2026-01-11,contoh-cabang-c
tiket mahal namun fasilitas bagus,3,2026-01-12,contoh-cabang-c
harga cukup terjangkau keluarga,4,2026-01-13,contoh-cabang-c
promo tiket membuat harga murah,4,2026-01-14,contoh-cabang-c
biaya makanan mahal,2,2026-01-15,contoh-cabang-c
